Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;UNT003__Unternehmen__Anzahl;VER013__Befoerderte_Personen__1000;VER014__Personenkilometer__1000
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;890;2644904;23794149
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;57;507831;10519350
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;62;888961;3931232
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;839;1413637;9343567
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;31;1339;395245
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;3;28996;8273060
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;926;2538197;22671196
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;53;483214;9783137
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;866241;3848238
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;877;1344282;9039821
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;32;1204;290862
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;3;27421;7511049
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;927;2512421;22666945
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;53;493064;9956376
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;847951;3768300
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;878;1323271;8942269
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;32;1242;321438
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;3;29086;8356074
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;920;2392223;22042425
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;52;520319;10601016
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;821818;3691056
